year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,29209.83,2153076.0,2153076.0
2004,,29209.83,1948477.0,1948477.0
2005,,29209.83,1833493.0,1833493.0
2006,,29209.83,1805887.0,1805887.0
2007,,29209.83,1767108.0,1767108.0
2008,,29209.83,1875804.0,1875804.0
2009,,29209.83,1996912.0,1996912.0
2010,,29209.83,1988130.0,1988130.0
2011,,29209.83,2011072.0,2011072.0
2012,,29209.83,2088492.0,2088492.0
2013,,29209.83,2010187.0,2010187.0
2014,start of forecast,29209.83,2073000.0,2073000.0
2015,,29209.83,2099000.0,2099000.0
2016,,29209.83,2127000.0,2127000.0
2017,,29209.83,2156000.0,2156000.0
2018,,29209.83,2185000.0,2185000.0
2019,,29209.83,2215000.0,2215000.0
2020,,29209.83,2246000.0,2246000.0
2021,,29209.83,2278000.0,2278000.0
2022,,29209.83,2311000.0,2311000.0
2023,,29209.83,2345000.0,2345000.0
2024,,29209.83,2380000.0,2380000.0
2025,,29209.83,2415000.0,2415000.0
2026,,29209.83,2451000.0,2451000.0
2027,,29209.83,2487000.0,2487000.0
2028,,29209.83,2524000.0,2524000.0
2029,,29209.83,2562000.0,2562000.0
2030,,29209.83,2600000.0,2600000.0
2031,,29209.83,2639000.0,2639000.0
2032,,29209.83,2678000.0,2678000.0
2033,,29209.83,2718000.0,2718000.0
2034,,29209.83,2759000.0,2759000.0
2035,,29209.83,2800000.0,2800000.0
2036,,29209.83,2842000.0,2842000.0
2037,,29209.83,2885000.0,2885000.0
2038,,29209.83,2929000.0,2929000.0
2039,,29209.83,2974000.0,2974000.0
2040,,29209.83,3019000.0,3019000.0
