year,Base case cost,Modeled diesel efficiency
2019,1020856.40269,1226554.28757
2020,1083531.13898,1283531.32057
2021,1134023.63066,1329433.58573
2022,1177123.5242,1368615.30713
2023,1214288.87264,1402401.98752
2024,1247062.36531,1432196.07177
2025,1283983.03782,1465760.31951
2026,1325753.37167,1503733.35028
2027,1364361.3847,1538831.54394
2028,1402137.6535,1573173.60649
2029,1444931.31744,1612076.93734
2030,1480366.23777,1644290.50128
2031,1526937.75941,1686628.24823
2032,1574229.45922,1729620.7026
2033,1624929.6946,1775711.82567
2034,1677037.97063,1823082.9857
2035,1719194.55388,1861407.15229
2036,1773409.50494,1910693.47144
2037,1817999.7672,1951230.07349
2038,1875023.87478,2003070.17129
