year,Base case diesel consumed,Modeled solar power (pv)
2016,163655.872543,161071.286734
2017,165887.193796,163323.284673
2018,168118.515048,165575.117198
2019,170426.778412,167903.727746
2020,172811.983889,170309.117628
2021,175274.131478,172791.288147
2022,177813.221179,175350.240594
2023,180429.252992,177985.976252
2024,183122.226917,180698.496391
2025,185815.200842,183410.860161
2026,188585.11688,186200.010923
2027,191355.032917,188989.007808
2028,194201.891067,191854.794159
2029,197125.691329,194797.371196
2030,200049.49159,197739.798019
2031,203050.233964,200759.017941
2032,206050.976338,203778.090043
2033,209128.660824,206873.957619
2034,212283.287422,210046.621843
2035,215437.91402,213219.141766
