year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,45825.67,8996.98,70623.14,29044.39
2018,45739.21,8992.54,70623.14,29044.39
2019,45739.21,8989.51,70623.14,29044.39
2020,45652.74,8985.95,70623.14,29044.39
2021,45566.28,8982.52,70623.14,29761.4
2022,45479.82,8979.86,70623.14,29761.4
2023,45479.82,8978.04,70623.14,29761.4
2024,45393.35,8975.98,70623.14,29761.4
2025,45393.35,8973.73,70623.14,29761.4
2026,45306.89,8970.16,70623.14,29761.4
2027,45220.43,8965.69,70623.14,30478.41
2028,45047.5,8961.34,70623.14,30478.41
2029,44961.04,8957.29,70623.14,30478.41
2030,44874.57,8953.06,70623.14,30478.41
2031,44788.11,8949.05,70623.14,31195.43
2032,44701.65,8944.92,70623.14,31195.43
2033,44615.18,8941.4,70623.14,31195.43
2034,44615.18,8937.69,70623.14,31195.43
2035,44528.72,8934.57,70623.14,31195.43
2036,44442.25,8930.91,70623.14,31912.44
2037,44355.79,8926.97,70623.14,31912.44
2038,44269.33,8924.2,70623.14,31912.44
2039,44269.33,8921.89,70623.14,31912.44
2040,44182.86,8919.34,70623.14,31912.44
