year,Base case cost,Modeled solar power
2020,235568.159329,236825.484812
2021,242868.275201,243901.682834
2022,248319.800793,249166.760975
2023,252412.984323,253110.091919
2024,255564.580006,256123.439418
2025,259196.048284,259620.017275
2026,263686.099418,263954.719282
2027,267252.720047,267385.289854
2028,269384.046072,269399.414851
2029,273363.097741,273241.039632
2030,275529.873813,275304.30782
2031,279925.679699,279561.29164
2032,284302.463608,283802.504468
2033,288214.073724,287589.210829
2034,293567.895527,292806.285176
2035,296115.975768,295257.609507
2036,300429.6413,299447.827461
2037,302950.053212,301876.711381
2038,307671.826607,306473.432671
2039,311656.066089,310356.947177
