year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,70623.1359729,52261.1206199
2018,70623.1359729,52261.1206199
2019,70623.1359729,52261.1206199
2020,70623.1359729,52261.1206199
2021,70623.1359729,52261.1206199
2022,70623.1359729,52261.1206199
2023,70623.1359729,52261.1206199
2024,70623.1359729,52261.1206199
2025,70623.1359729,52261.1206199
2026,70623.1359729,52261.1206199
2027,70623.1359729,52261.1206199
2028,70623.1359729,52261.1206199
2029,70623.1359729,52261.1206199
2030,70623.1359729,52261.1206199
2031,70623.1359729,52261.1206199
