year,Base case diesel consumed,Modeled solar power
2020,45652.744056,44822.1728955
2021,45566.2805256,44742.3539344
2022,45479.8169951,44662.4818167
2023,45479.8169951,44669.0204982
2024,45393.3534647,44589.0433397
2025,45393.3534647,44595.4778207
2026,45306.8899343,44515.3972955
2027,45220.4264039,44435.2657062
2028,45047.4993431,44268.6199309
2029,44961.0358127,44188.3874358
2030,44874.5722823,44108.1050924
2031,44788.1087519,44027.7732995
2032,44701.6452215,43947.3924528
2033,44615.1816911,43866.9629445
2034,44615.1816911,43872.9486945
2035,44528.7181606,43792.423028
2036,44442.2546302,43711.8498587
2037,44355.7910998,43631.2295664
2038,44269.3275694,43550.5625283
2039,44269.3275694,43556.3126486
