year,Base case diesel consumed,Modeled diesel efficiency
2019,45739.2075864,41581.0978058
2020,45652.744056,41502.4945963
2021,45566.2805256,41423.8913869
2022,45479.8169951,41345.2881774
2023,45479.8169951,41345.2881774
2024,45393.3534647,41266.6849679
2025,45393.3534647,41266.6849679
2026,45306.8899343,41188.0817585
2027,45220.4264039,41109.478549
2028,45047.4993431,40952.2721301
2029,44961.0358127,40873.6689206
2030,44874.5722823,40795.0657112
2031,44788.1087519,40716.4625017
2032,44701.6452215,40637.8592922
2033,44615.1816911,40559.2560828
2034,44615.1816911,40559.2560828
2035,44528.7181606,40480.6528733
2036,44442.2546302,40402.0496639
2037,44355.7910998,40323.4464544
2038,44269.3275694,40244.8432449
