year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,5534.79969997,3597.61980498
2018,5542.81008729,3602.82655674
2019,5541.7852047,3602.16038305
2020,5540.10819771,3601.07032851
2021,5539.84286729,3600.89786374
2022,5533.67359773,3596.88783853
2023,5525.00055917,3591.25036346
2024,5511.80529702,3582.67344306
2025,5499.20250716,3574.48162966
2026,5487.69450893,3567.00143081
2027,5479.94405364,3561.96363487
2028,5473.17313454,3557.56253745
2029,5436.28977752,3533.58835539
2030,5406.28611697,3514.08597603
2031,5384.01104826,3499.60718137
