year,Base case cost,Modeled biomass for heat (cordwood)
2017,480292.9647,529967.873023
2018,540216.74174,584631.146581
2019,613392.367851,651167.103975
2020,650923.865205,684890.460958
2021,675948.785205,707066.530552
2022,694323.623377,722927.366778
2023,704260.978903,730996.977959
2024,706951.791359,731997.860587
2025,716061.07638,739126.599512
2026,726991.915371,747941.749183
2027,736379.970897,755546.402843
2028,745686.189069,763089.083939
2029,742837.749426,758340.533455
2030,736468.442934,750557.979546
2031,740249.209592,752320.10746
2032,757274.426946,767188.780023
2033,772431.232239,780362.656961
2034,789468.803562,795278.556922
2035,798910.746946,803239.546911
2036,806372.649402,808613.035891
