year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,207800.0,190642.974275
2018,209279.0,192121.974275
2019,208543.0,191385.974275
2020,208541.0,191383.974275
2021,208541.0,191383.974275
2022,207799.0,190641.974275
2023,207055.0,189897.974275
2024,204835.0,187677.974275
2025,203350.0,186192.974275
2026,201868.0,184710.974275
2027,201124.0,183966.974275
2028,200382.0,183224.974275
2029,195931.0,178773.974275
2030,192223.0,175065.974275
2031,189258.0,172100.974275
2032,189256.0,172098.974275
2033,189260.0,172102.974275
2034,189261.0,172103.974275
2035,189256.0,172098.974275
2036,187036.0,169878.974275
