year,Base case cost,Modeled biomass for heat (pellet)
2017,480292.9647,515588.216193
2018,540216.74174,570441.390171
2019,613392.367851,637012.551363
2020,650923.865205,671037.878168
2021,675948.785205,693595.843834
2022,694323.623377,709856.433294
2023,704260.978903,718375.162061
2024,706951.791359,719828.040011
2025,716061.07638,727365.158215
2026,726991.915371,736560.959546
2027,736379.970897,744565.613446
2028,745686.189069,752496.726403
2029,742837.749426,748109.713245
2030,736468.442934,740724.456085
2031,740249.209592,742810.717677
2032,757274.426946,757977.405246
2033,772431.232239,771454.619703
2034,789468.803562,786648.22592
2035,798910.746946,794939.512557
2036,806372.649402,800571.339865
