year,Base case cost,Modeled residential energy efficiency
2017,967973.172506,1017301.92983
2018,1019653.11385,1054235.16107
2019,1070784.55552,1087339.4347
2020,1098813.13317,1104221.49097
2021,1117498.8516,1114121.71075
2022,1127541.20769,1116231.46814
2023,1131259.72323,1113620.80118
2024,1122116.83538,1098620.56595
2025,1121395.0185,1091381.70944
2026,1121936.60265,1085120.80851
2027,1125067.63384,1082291.06804
2028,1128103.3973,1079452.82991
2029,1103074.11881,1048257.85574
2030,1079172.41189,1019402.49489
2031,1066305.90675,1000157.42491
2032,1078462.47479,1005637.91455
2033,1089268.31305,1010221.17217
2034,1101424.88109,1015853.99014
2035,1108178.53,1017663.10787
2036,1101437.6277,1004543.72709
