year,Base case diesel consumed,Modeled solar power (pv)
2016,216120.862391,212707.707059
2017,217437.334649,214051.48456
2018,218680.66956,215321.906271
2019,219997.141818,216665.248636
2020,221386.751424,218081.513387
2021,222703.223682,219424.42755
2022,224165.970636,220913.404872
2023,225555.580242,222329.035004
2024,227018.327195,223817.59432
2025,228554.211496,225379.084484
2026,230090.095798,226940.369801
2027,231625.980099,228501.451911
2028,233161.8644,230062.332437
2029,234770.886049,231696.150342
2030,236453.045046,233402.907224
2031,238135.204042,235109.467324
2032,239817.363039,236815.832214
2033,241499.522036,238522.003457
2034,243254.81838,240301.11995
2035,245083.252072,242153.183229
