year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,40580.65,2718271.0,2718271.0
2004,,40580.65,2701359.0,2701359.0
2005,,40580.65,2674736.0,2674736.0
2006,,40580.65,2688995.0,2688995.0
2007,,40580.65,2600919.0,2600919.0
2008,,40580.65,2702564.0,2702564.0
2009,,40580.65,2752306.0,2752306.0
2010,,40580.65,2844764.0,2844764.0
2011,,40580.65,2838966.0,2838966.0
2012,,40580.65,2898846.0,2898846.0
2013,,40580.65,2962264.0,2962264.0
2014,start of forecast,40580.65,2921000.0,2921000.0
2015,,40580.65,2938000.0,2938000.0
2016,,40580.65,2955000.0,2955000.0
2017,,40580.65,2973000.0,2973000.0
2018,,40580.65,2990000.0,2990000.0
2019,,40580.65,3008000.0,3008000.0
2020,,40580.65,3027000.0,3027000.0
2021,,40580.65,3045000.0,3045000.0
2022,,40580.65,3065000.0,3065000.0
2023,,40580.65,3084000.0,3084000.0
2024,,40580.65,3104000.0,3104000.0
2025,,40580.65,3125000.0,3125000.0
2026,,40580.65,3146000.0,3146000.0
2027,,40580.65,3167000.0,3167000.0
2028,,40580.65,3188000.0,3188000.0
2029,,40580.65,3210000.0,3210000.0
2030,,40580.65,3233000.0,3233000.0
2031,,40580.65,3256000.0,3256000.0
2032,,40580.65,3279000.0,3279000.0
2033,,40580.65,3302000.0,3302000.0
2034,,40580.65,3326000.0,3326000.0
2035,,40580.65,3351000.0,3351000.0
2036,,40580.65,3376000.0,3376000.0
2037,,40580.65,3401000.0,3401000.0
2038,,40580.65,3427000.0,3427000.0
2039,,40580.65,3454000.0,3454000.0
2040,,40580.65,3481000.0,3481000.0
