year,Base case diesel consumed,Modeled residential energy efficiency
2017,208869.621477,140947.513939
2018,214308.145641,146386.038103
2019,219746.669806,151824.562268
2020,226272.898803,158350.791265
2021,231711.422967,163789.315429
2022,238237.651965,170315.544427
2023,244763.880962,176841.773424
2024,251290.109959,183368.002421
2025,257816.338957,189894.231419
2026,264342.567954,196420.460416
2027,270868.796951,202946.689413
2028,277395.025949,209472.91841
2029,285008.959779,217086.852241
2030,291535.188776,223613.081238
2031,299149.122606,231227.015068
2032,306763.056436,238840.948898
2033,314376.990266,246454.882728
2034,321990.924097,254068.816559
2035,329604.857927,261682.750389
2036,337218.791757,269296.684219
