year,Base case diesel consumed,Mountain village wind feasibility and conceptual design,Modeled wind power
2019,219997.141818,153356.653483,133740.788367
2020,221386.751424,154746.263088,135130.397973
2021,222703.223682,156062.735347,136446.870231
2022,224165.970636,157525.4823,137909.617185
2023,225555.580242,158915.091906,139299.226791
2024,227018.327195,160377.83886,140761.973744
2025,228554.211496,161913.723161,142297.858046
2026,230090.095798,163449.607462,143833.742347
2027,231625.980099,164985.491764,145369.626648
2028,233161.8644,166521.376065,146905.510949
2029,234770.886049,168130.397714,148514.532598
2030,236453.045046,169812.55671,150196.691595
2031,238135.204042,171494.715707,151878.850592
2032,239817.363039,173176.874704,153561.009588
2033,241499.522036,174859.0337,155243.168585
2034,243254.81838,176614.330044,156998.464929
2035,245083.252072,178442.763736,158826.898621
2036,246911.685764,180271.197428,160655.332313
2037,248740.119456,182099.63112,162483.766005
2038,250641.690495,184001.20216,164385.337045
