year,Base case cost,Modeled solar power (pv)
2016,261176.644889,269878.076037
2017,311538.06072,319625.544115
2018,347845.127946,355440.968862
2019,399377.739494,406372.893307
2020,422801.653834,429425.210065
2021,439198.393872,445512.128426
2022,450910.351042,456956.747046
2023,460279.916777,466082.759506
2024,467307.091079,472889.610834
2025,475505.461098,480864.213975
2026,486046.222551,491169.215992
2027,494244.59257,499154.415373
2028,501271.766872,505981.976712
2029,510641.332608,515139.868797
2030,516497.311193,520814.244378
2031,527038.072646,531144.663887
2032,537578.834099,541479.974037
2033,548119.595552,551820.069738
2034,559831.552722,563327.941702
2035,566858.727024,570187.892409
