year,Base case cost,Modeled wind power
2019,399377.739494,631528.257021
2020,422801.653834,645560.873331
2021,439198.393872,653765.000548
2022,450910.351042,658125.979429
2023,460279.916777,660629.226241
2024,467307.091079,661271.674245
2025,475505.461098,663033.163115
2026,486046.222551,666905.046777
2027,494244.59257,668907.357824
2028,501271.766872,670031.585274
2029,510641.332608,673257.840083
2030,516497.311193,673612.072735
2031,527038.072646,678051.631756
2032,537578.834099,682596.869073
2033,548119.595552,687245.307737
2034,559831.552722,692988.807165
2035,566858.727024,694853.615481
2036,577399.488477,699797.371438
2037,584426.662778,701852.154833
2038,596138.619948,707975.711228
