year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,128362.0,91567.7727768
2018,128362.0,91567.7727768
2019,128362.0,91567.7727768
2020,128362.0,91567.7727768
2021,128362.0,91567.7727768
2022,128362.0,91567.7727768
2023,128362.0,91567.7727768
2024,128362.0,91567.7727768
2025,128362.0,91567.7727768
2026,128362.0,91567.7727768
2027,128362.0,91567.7727768
2028,128362.0,91567.7727768
2029,128362.0,91567.7727768
2030,128362.0,91567.7727768
2031,128362.0,91567.7727768
2032,,
2033,,
2034,,
2035,,
2036,,
