year,Base case cost,Modeled biomass for heat (cordwood)
2017,370011.220016,484075.5025
2018,404668.960016,507501.529986
2019,452162.900016,540470.399651
2020,476551.680016,556405.34607
2021,491955.120016,565745.586139
2022,504791.320016,573235.60225
2023,512493.040016,576976.014658
2024,520194.760016,580762.23214
2025,527896.480016,584593.181134
2026,538165.440016,590366.067291
2027,547150.780016,595232.485732
2028,554852.500016,599191.436622
2029,563837.840016,604140.197601
2030,570255.940016,607230.434108
2031,580524.900016,613206.850085
2032,,
2033,,
2034,,
2035,,
2036,,
