year,Base case cost,Modeled biomass for heat (pellet)
2017,370011.220016,431488.748469
2018,404668.960016,455125.452225
2019,452162.900016,487944.400327
2020,476551.680016,504306.019512
2021,491955.120016,514282.181894
2022,504791.320016,522450.706872
2023,512493.040016,526979.683104
2024,520194.760016,531531.278638
2025,527896.480016,536104.963329
2026,538165.440016,542531.574918
2027,547150.780016,548063.574649
2028,554852.500016,552700.468788
2029,563837.840016,558273.130622
2030,570255.940016,562034.056122
2031,580524.900016,568561.174092
2032,,
2033,,
2034,,
2035,,
2036,,
