year,Base case cost,Modeled non-residential energy efficiency
2017,946029.254926,870580.701454
2018,998741.562637,916857.052773
2019,1070976.94728,980958.720651
2020,1108070.79345,1013088.16633
2021,1131498.48576,1032807.39836
2022,1151021.56269,1049007.75106
2023,1162735.40885,1058131.43464
2024,1174449.25501,1067291.37632
2025,1186163.10117,1076486.72631
2026,1201781.56271,1089273.55344
2027,1215447.71656,1100315.6992
2028,1227161.56272,1109612.37217
2029,1240827.71657,1120719.69816
2030,1250589.25504,1128301.57434
2031,1266207.71658,1141249.51038
