year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,128362.178207,94988.0118729
2018,128362.178207,94988.0118729
2019,128362.178207,94988.0118729
2020,128362.178207,94988.0118729
2021,128362.178207,94988.0118729
2022,128362.178207,94988.0118729
2023,128362.178207,94988.0118729
2024,128362.178207,94988.0118729
2025,128362.178207,94988.0118729
2026,128362.178207,94988.0118729
2027,128362.178207,94988.0118729
2028,128362.178207,94988.0118729
2029,128362.178207,94988.0118729
2030,128362.178207,94988.0118729
2031,128362.178207,94988.0118729
