year,Base case diesel consumed,Modeled residential ashp
2017,31966.8488742,8973.67126346
2018,30019.866976,7026.6893653
2019,30019.866976,7026.6893653
2020,30019.866976,7026.6893653
2021,30019.866976,7026.6893653
2022,28072.8850779,5079.70746714
2023,28072.8850779,5079.70746714
2024,28072.8850779,5079.70746714
2025,28072.8850779,5079.70746714
2026,26125.9031797,3132.72556899
2027,26125.9031797,3132.72556899
2028,26125.9031797,3132.72556899
2029,24178.9212815,1185.74367083
2030,24178.9212815,1185.74367083
2031,24178.9212815,1185.74367083
