year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,7916.86252051,5145.96063833
2018,7915.38640505,5145.00116328
2019,7914.10232844,5144.16651348
2020,7911.67727211,5142.59022687
2021,7911.08157882,5142.20302623
2022,7910.60048291,5141.89031389
2023,7906.9003393,5139.48522055
2024,7906.83108813,5139.44020728
2025,7906.62606469,5139.30694205
2026,7906.78447676,5139.40990989
2027,7906.38148818,5139.14796732
2028,7905.96524866,5138.87741163
2029,7905.76129063,5138.74483891
2030,7904.60346424,5137.99225175
2031,7904.52149482,5137.93897163
