year,Base case cost,Modeled diesel efficiency
2019,55832.0572238,191403.631413
2020,59201.2330908,191170.099457
2021,61447.3503354,189992.864885
2022,63212.1567419,188453.524055
2023,64335.2153642,186404.457007
2024,65297.8370405,184281.491838
2025,66581.3326088,182520.497625
2026,68025.2651233,180973.975804
2027,69148.3237456,179202.762622
2028,70110.9454218,177351.139137
2029,71554.8779362,176000.978983
2030,72357.0626665,174129.821593
2031,73800.9951809,172903.018658
2032,75244.9276953,171735.734507
2033,76688.8602097,170626.574105
2034,78293.2296702,169720.027121
2035,79255.8513464,168285.50416
2036,80860.2208069,167488.520372
2037,81822.8424832,166160.992755
2038,83427.2119436,165468.496616
