year,Base case cost,Nushagak community wind power project,Modeled wind power
2019,3148804.18907,3384052.67629,3384052.67629
2020,3322904.14537,3473511.46134,3473511.46134
2021,3459302.59191,3538683.51048,3538683.51048
2022,3544400.51526,3570234.48548,3570234.48548
2023,3616229.29328,3593347.68739,3593347.68739
2024,3660395.41319,3597894.90545,3597894.90545
2025,3717416.3319,3611546.13505,3611546.13505
2026,3785839.82525,3632836.78988,3632836.78988
2027,3852324.33783,3652691.50819,3652691.50819
2028,3892289.33275,3655074.49773,3655074.49773
2029,3961267.96996,3678394.33604,3678394.33604
2030,4002828.66827,3683321.26667,3683321.26667
2031,4082471.69968,3718231.512,3718231.512
2032,4157182.80077,3744378.35234,3744378.35234
2033,4221177.21151,3764523.09106,3764523.09106
2034,4298365.00517,3794009.0409,3794009.0409
2035,4339843.90692,3801037.01014,3801037.01014
2036,4419938.83081,3834252.55463,3834252.55463
2037,4474318.79336,3850706.50506,3850706.50506
2038,4550942.72713,3881235.42298,3881235.42298
