year,Base case cost,Dillingham (elva lake),"Dillingham (aleknagik, grant lake)",Nushagak area hydropower project (nahp) -- grant lake
2021,3459302.59191,11220540.2275,10795322.5254,4117276.9207
2022,3544400.51526,11071910.2238,10662109.1577,4099735.80226
2023,3616229.29328,10921004.4072,10525783.9012,4077272.47685
2024,3660395.41319,10759923.9973,10377886.3389,4042571.76378
2025,3717416.3319,10609292.5394,10240749.921,4014800.58409
2026,3785839.82525,10467559.5668,10112830.1742,3992479.00919
2027,3852324.33783,10327885.3419,9986725.29172,3969345.81384
2028,3892289.33275,10178791.1685,9849826.44865,3935008.81546
2029,3961267.96996,10049327.6376,9733461.50751,3916545.81912
2030,4002828.66827,9909364.88015,9605234.36081,3885929.5968
2031,4082471.69968,9797924.83357,9506443.95934,3880206.25974
2032,4157182.80077,9678505.78138,9400025.86311,3863444.90034
2033,4221177.21151,9558435.28461,9292176.86479,3844052.06829
2034,4298365.00517,9448346.61381,9194671.03757,3831700.14329
2035,4339843.90692,9325649.20664,9082650.97067,3805894.02381
2036,4419938.83081,9225003.84962,8994189.71441,3798292.43429
2037,4474318.79336,9114992.72497,8895034.45531,3780079.99201
2038,4550942.72713,9017109.77084,8808955.33099,3770765.23064
2039,4596560.40075,8904423.65505,8706753.7224,3745507.1188
2040,4694626.43126,8827329.65992,8641668.82468,3752203.45308
2041,4696163.13386,8709356.73566,8530986.63905,3720038.41342
2042,4691040.79187,8587525.77088,8416275.5364,3682004.21297
2043,4696675.36806,8479187.08882,8314889.84431,3655498.30412
2044,4706151.70073,8377361.41049,8219854.1953,3633587.44409
2045,4717420.8531,8279937.19475,8129060.86746,3614205.04166
2046,4739446.92365,8195817.39338,8051416.54284,3606297.95192
2047,4751228.31022,8103940.70595,7965863.56292,3588847.73778
2048,4766083.10198,8017566.90716,7885665.2599,3575156.04373
2049,4791182.57772,7943810.33592,7817939.44634,3572378.09148
2050,4812184.17987,7868272.8325,7748291.35456,3566155.64366
