year,Base case cost,Modeled solar power (pv)
2016,2077915.57307,2270317.22851
2017,2468683.22033,2650697.41443
2018,2741726.84401,2915253.71824
2019,3148804.18907,3312148.39372
2020,3322904.14537,3479603.07965
2021,3459302.59191,3610051.13875
2022,3544400.51526,3690059.8297
2023,3616229.29328,3757097.28858
2024,3660395.41319,3796942.63428
2025,3717416.3319,3849567.92424
2026,3785839.82525,3913522.86185
2027,3852324.33783,3975643.06938
2028,3892289.33275,4011693.42716
2029,3961267.96996,4076506.6052
2030,4002828.66827,4114341.53068
2031,4082471.69968,4190009.21285
2032,4157182.80077,4260669.85841
2033,4221177.21151,4320874.72503
2034,4298365.00517,4394196.46564
2035,4339843.90692,4432392.24138
