year,Base case diesel consumed,Nushagak community wind power project,Modeled wind power
2019,1274819.50974,775248.83676,775248.83676
2020,1273143.35072,773572.677732,773572.677732
2021,1271802.4235,772231.750511,772231.750511
2022,1270394.44991,770823.776928,770823.776928
2023,1268852.38361,769281.710623,769281.710623
2024,1266572.80733,767002.134346,767002.134346
2025,1264427.32378,764856.650791,764856.650791
2026,1261946.60842,762375.935431,762375.935431
2027,1258929.52217,759358.849182,759358.849182
2028,1255577.20411,756006.531127,756006.531127
2029,1253565.81328,753995.140294,753995.140294
2030,1250883.95884,751313.285851,751313.285851
2031,1252291.93242,752721.259434,752721.259434
2032,1248403.24348,748832.570491,748832.570491
2033,1245185.01814,745614.345158,745614.345158
2034,1242302.02462,742731.351631,742731.351631
2035,1239955.40198,740384.728993,740384.728993
2036,1238078.10387,738507.430883,738507.430883
2037,1235999.66667,736428.993689,736428.993689
2038,1233317.81223,733747.139246,733747.139246
