year,Base case cost,Chignik lake -- unnamed creek 1,Chignik lake (cucumber creek),"Chignik lake (unnamed stream, site #6) -- unnamed creek 2",Chignik lagoon (through creek),Chignik hydroelectric dam project -- packers creek,Chignik (mud bay lake creek),Chignik lagoon (crazy creek),Chignik bay (negro creek),Chignik (indian creek),"Chignik (snowbird creek, 1)"
2020,192757.687684,,,,,241520.830793,,,,,
2021,201643.89151,557787.63854,1367226.67888,581183.363564,1020692.54212,242198.059949,2101601.8707,347284.593529,552547.896131,1210406.73067,261238.105694
2022,207910.376956,551022.446289,1341440.22762,574353.697137,1002810.33846,241264.708159,2062859.17007,344389.012691,541841.840282,1184998.13301,265677.380168
2023,212215.050568,543499.197168,1315744.57463,566713.468694,985301.841445,239999.185048,2024863.99015,341180.19171,531247.820016,1160292.66442,268306.246297
2024,215861.073394,536188.278885,1290953.5679,559252.609737,967952.148636,238458.362994,1987487.85292,337736.935473,520850.940836,1136189.58186,270348.557221
2025,220145.652575,529071.463716,1266451.72665,552031.534669,950917.52393,237004.339954,1950949.20483,334437.537826,510730.494856,1112582.50673,273022.230649
2026,225713.298373,523115.917074,1243344.07769,545997.563374,935209.265729,236591.112274,1916223.7344,332229.164983,500919.24506,1089407.83575,276931.76536
2027,229975.550409,516383.543893,1219977.58034,539173.060479,918982.810713,235250.883271,1881407.0141,329131.452327,491247.271073,1066845.10656,279645.006751
2028,233582.128612,509519.353793,1196988.54895,532202.895137,903255.134192,233942.935503,1847480.92345,326096.901769,481752.810423,1044836.52566,281771.698091
2029,238744.164603,503747.095541,1175151.30327,526369.773654,888343.614271,233321.166814,1814875.08052,323807.23169,472823.57881,1023495.67762,285404.491288
2030,241970.437098,497536.621587,1153809.27816,520025.225099,873385.964789,232070.824956,1782545.50574,320906.378963,463993.308909,1002795.36918,287247.781151
2031,247777.727588,492451.977917,1133195.60927,514910.448774,859498.159503,231906.973382,1751818.95027,319160.325243,455531.490505,982374.747666,291542.862198
2032,253000.046872,486960.862848,1112504.98229,509394.524059,845389.824442,231217.883729,1721272.84345,316927.602079,446691.298566,961837.23604,295280.133059
2033,258494.757328,481916.455098,1092582.85286,504330.504911,831909.780243,230859.518419,1691746.60781,315063.267865,438325.253255,942029.225842,299316.319517
2034,264618.349044,477671.159327,1073774.08387,500070.674161,819406.175814,231187.000317,1663579.21486,313921.562797,430179.085503,922601.332372,303968.030082
2035,268160.922763,471993.869319,1054281.14117,494324.711899,805791.582914,229922.511743,1634600.72966,311206.518356,422068.431301,903809.0014,306221.058014
2036,274257.721904,467722.772167,1035906.16541,490068.576691,793555.183563,230022.01999,1607463.18435,309913.600281,414275.779507,885215.967049,310895.974477
2037,277461.667254,462355.332394,1017462.40932,484622.335457,780633.981216,228837.422594,1579874.40319,307342.017904,406803.922642,867621.626027,312898.4606
2038,283539.86044,458378.992794,999960.66484,480670.302554,769018.767327,229023.188831,1554061.9769,306203.066528,399355.355316,849831.720683,317602.45336
2039,288660.219094,454578.796818,983355.110104,476839.827329,757885.029962,229235.133157,1528997.12522,305105.673466,392336.009781,832870.784036,321450.13772
2040,295356.874205,451192.171639,966847.77658,473506.118937,747121.558421,229828.228464,1504732.27945,304444.386161,385245.762373,815787.846802,326778.80583
2041,295013.036167,444840.375971,949405.201049,466975.161106,734511.327993,227473.888266,1478625.89232,300791.901248,377948.247048,799689.306205,325520.780461
2042,294669.19813,438629.391806,932363.377166,460589.21389,722188.591128,225166.669221,1453123.31491,297216.962744,370813.70853,783960.016438,324284.181357
2043,294669.19813,432899.756941,916056.750433,454688.716671,710490.447792,223249.304948,1428554.23361,294061.591208,364182.165119,768935.161297,323412.344381
2044,294669.19813,427304.410371,900132.310203,448926.512334,699066.479646,221376.878908,1404560.99005,290980.17368,357706.048483,754262.451142,322560.941081
2045,294669.19813,421840.204757,884581.099101,443299.359682,687910.260797,219548.33785,1381130.08823,287970.976887,351381.715855,739933.632687,321729.49255
2046,294325.360092,416160.228418,869050.531452,437460.255376,676671.677775,217418.815191,1357904.51011,284688.470103,344861.771727,725596.807858,320573.693054
2047,294325.360092,410949.155871,854219.740853,432093.784424,666032.278403,215674.982552,1335559.06086,281818.676412,338830.418138,711931.781729,319780.761945
2048,294325.360092,405860.217837,839736.546908,426853.090135,655642.239954,213972.020975,1313737.33308,279016.143511,332940.424398,698587.02965,319006.415159
