year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,11529.76,640800.0,640800.0
2004,,11529.76,649616.0,649616.0
2005,,11529.76,591090.0,591090.0
2006,,11529.76,618616.0,618616.0
2007,,11529.76,537329.0,537329.0
2008,,11529.76,595020.0,595020.0
2009,,11529.76,799446.0,799446.0
2010,,11529.76,918422.0,918422.0
2011,,11529.76,901331.0,901331.0
2012,,11529.76,989322.0,989322.0
2013,,11529.76,875128.0,875128.0
2014,,11529.76,878157.0,878157.0
2015,,11529.76,898570.0,898570.0
2016,start of forecast,11529.76,878000.0,878000.0
2017,,11529.76,877000.0,877000.0
2018,,11529.76,876000.0,876000.0
2019,,11529.76,875000.0,875000.0
2020,,11529.76,875000.0,875000.0
2021,,11529.76,874000.0,874000.0
2022,,11529.76,873000.0,873000.0
2023,,11529.76,872000.0,872000.0
2024,,11529.76,871000.0,871000.0
2025,,11529.76,870000.0,870000.0
2026,,11529.76,869000.0,869000.0
2027,,11529.76,868000.0,868000.0
2028,,11529.76,867000.0,867000.0
2029,,11529.76,867000.0,867000.0
2030,,11529.76,867000.0,867000.0
2031,,11529.76,867000.0,867000.0
2032,,11529.76,865000.0,865000.0
2033,,11529.76,864000.0,864000.0
2034,,11529.76,863000.0,863000.0
2035,,11529.76,862000.0,862000.0
2036,,11529.76,861000.0,861000.0
2037,,11529.76,861000.0,861000.0
2038,,11529.76,860000.0,860000.0
2039,,11529.76,860000.0,860000.0
2040,,11529.76,859000.0,859000.0
