year,Base case diesel consumed,Chignik lake -- unnamed creek 1,Chignik lake (cucumber creek),"Chignik lake (unnamed stream, site #6) -- unnamed creek 2",Chignik lagoon (through creek),Chignik hydroelectric dam project -- packers creek,Chignik (mud bay lake creek),Chignik lagoon (crazy creek),Chignik bay (negro creek),Chignik (indian creek),"Chignik (snowbird creek, 1)"
2020,65120.8404339,,,,,31425.831438,,,,,
2021,65046.4166163,33101.6993792,33101.6993792,33101.6993792,31351.4076204,31351.4076204,31351.4076204,31351.4076204,0.0,0.0,60688.0729386
2022,64971.9927986,33027.2755616,33027.2755616,33027.2755616,31276.9838027,31276.9838027,31276.9838027,31276.9838027,0.0,0.0,60613.649121
2023,64897.568981,32952.851744,32952.851744,32952.851744,31202.5599851,31202.5599851,31202.5599851,31202.5599851,0.0,0.0,60539.2253033
2024,64823.1451633,32878.4279263,32878.4279263,32878.4279263,31128.1361675,31128.1361675,31128.1361675,31128.1361675,0.0,0.0,60464.8014857
2025,64748.7213457,32804.0041087,32804.0041087,32804.0041087,31053.7123498,31053.7123498,31053.7123498,31053.7123498,0.0,0.0,60390.3776681
2026,64674.2975281,32729.580291,32729.580291,32729.580291,30979.2885322,30979.2885322,30979.2885322,30979.2885322,0.0,0.0,60315.9538504
2027,64599.8737104,32655.1564734,32655.1564734,32655.1564734,30904.8647146,30904.8647146,30904.8647146,30904.8647146,0.0,0.0,60241.5300328
2028,64525.4498928,32580.7326558,32580.7326558,32580.7326558,30830.4408969,30830.4408969,30830.4408969,30830.4408969,0.0,0.0,60167.1062152
2029,64525.4498928,32580.7326558,32580.7326558,32580.7326558,30830.4408969,30830.4408969,30830.4408969,30830.4408969,0.0,0.0,60167.1062152
2030,64525.4498928,32580.7326558,32580.7326558,32580.7326558,30830.4408969,30830.4408969,30830.4408969,30830.4408969,0.0,0.0,60167.1062152
2031,64525.4498928,32580.7326558,32580.7326558,32580.7326558,30830.4408969,30830.4408969,30830.4408969,30830.4408969,0.0,0.0,60167.1062152
2032,64376.6022575,32431.8850205,32431.8850205,32431.8850205,30681.5932616,30681.5932616,30681.5932616,30681.5932616,0.0,0.0,60018.2585799
2033,64302.1784399,32357.4612029,32357.4612029,32357.4612029,30607.169444,30607.169444,30607.169444,30607.169444,0.0,0.0,59943.8347622
2034,64227.7546222,32283.0373852,32283.0373852,32283.0373852,30532.7456264,30532.7456264,30532.7456264,30532.7456264,0.0,0.0,59869.4109446
2035,64153.3308046,32208.6135676,32208.6135676,32208.6135676,30458.3218087,30458.3218087,30458.3218087,30458.3218087,0.0,0.0,59794.987127
2036,64078.906987,32134.1897499,32134.1897499,32134.1897499,30383.8979911,30383.8979911,30383.8979911,30383.8979911,0.0,0.0,59720.5633093
2037,64078.906987,32134.1897499,32134.1897499,32134.1897499,30383.8979911,30383.8979911,30383.8979911,30383.8979911,0.0,0.0,59720.5633093
2038,64004.4831693,32059.7659323,32059.7659323,32059.7659323,30309.4741734,30309.4741734,30309.4741734,30309.4741734,0.0,0.0,59646.1394917
2039,64004.4831693,32059.7659323,32059.7659323,32059.7659323,30309.4741734,30309.4741734,30309.4741734,30309.4741734,0.0,0.0,59646.1394917
2040,63930.0593517,31985.3421147,31985.3421147,31985.3421147,30235.0503558,30235.0503558,30235.0503558,30235.0503558,0.0,0.0,59571.715674
2041,63855.635534,31910.918297,31910.918297,31910.918297,30160.6265382,30160.6265382,30160.6265382,30160.6265382,0.0,0.0,59497.2918564
2042,63781.2117164,31836.4944794,31836.4944794,31836.4944794,30086.2027205,30086.2027205,30086.2027205,30086.2027205,0.0,0.0,59422.8680388
2043,63781.2117164,31836.4944794,31836.4944794,31836.4944794,30086.2027205,30086.2027205,30086.2027205,30086.2027205,0.0,0.0,59422.8680388
2044,63781.2117164,31836.4944794,31836.4944794,31836.4944794,30086.2027205,30086.2027205,30086.2027205,30086.2027205,0.0,0.0,59422.8680388
2045,63781.2117164,31836.4944794,31836.4944794,31836.4944794,30086.2027205,30086.2027205,30086.2027205,30086.2027205,0.0,0.0,59422.8680388
