year,Base case cost,Modeled solar power (pv)
2016,110431.549089,119453.519667
2017,135108.254303,143546.697232
2018,153860.823634,161814.271843
2019,180384.728002,187747.127458
2020,192757.687684,199750.488945
2021,201643.89151,208322.153824
2022,207910.376956,214318.469158
2023,212215.050568,218386.973276
2024,215861.073394,221811.520995
2025,220145.652575,225870.618987
2026,225713.298373,231199.777162
2027,229975.550409,235246.992997
2028,233582.128612,238652.477093
2029,238744.164603,243600.368766
2030,241970.437098,246643.861494
2031,247777.727588,252237.760939
2032,253000.046872,257251.531488
2033,258494.757328,262542.433026
2034,264618.349044,268458.315726
2035,268160.922763,271831.743896
