year,Base case diesel consumed,Modeled solar power (pv)
2016,65344.1118868,64357.3095012
2017,65269.6880692,64290.7801027
2018,65195.2642515,64224.1875488
2019,65120.8404339,64157.5323448
2020,65120.8404339,64165.2388095
2021,65046.4166163,64098.4598048
2022,64971.9927986,64031.6196417
2023,64897.568981,63964.7188093
2024,64823.1451633,63897.757793
2025,64748.7213457,63830.7370744
2026,64674.2975281,63763.6571309
2027,64599.8737104,63696.5184364
2028,64525.4498928,63629.321461
2029,64525.4498928,63636.4904884
2030,64525.4498928,63643.6021637
2031,64525.4498928,63650.6569455
2032,64376.6022575,63508.8076538
2033,64302.1784399,63441.326193
2034,64227.7546222,63373.7891933
2035,64153.3308046,63306.1970991
