year,Base case cost,Modeled wind power
2019,673780.402077,909011.738672
2020,716803.211516,933753.410121
2021,745912.404695,948187.843964
2022,768436.573312,957930.092485
2023,784095.662878,962695.795877
2024,797492.601067,965944.255914
2025,815340.458746,972675.30716
2026,829775.994737,976161.119068
2027,844265.444962,980433.721389
2028,858772.866597,984883.636637
2029,876471.711326,992110.872577
2030,887218.615182,994247.258093
2031,903572.599311,999860.282142
2032,920169.9463,1006431.29978
2033,938504.529697,1014311.36747
2034,957442.652985,1022933.18233
2035,973917.944139,1030366.55299
2036,998967.096021,1045366.16867
2037,1011685.61344,1049872.99562
2038,1033787.4539,1062179.71381
