year,Base case cost,Modeled solar power (pv)
2016,436633.404837,464304.956861
2017,523691.413208,549232.734688
2018,586011.774157,609848.985299
2019,673780.402077,695564.301675
2020,716803.211516,737294.088688
2021,745912.404695,765363.007941
2022,768436.573312,786981.640346
2023,784095.662878,801866.780027
2024,797492.601067,814544.731773
2025,815340.458746,831617.880478
2026,829775.994737,845296.704381
2027,844265.444962,859082.937259
2028,858772.866597,872903.794807
2029,876471.711326,889897.048707
2030,887218.615182,900059.955381
2031,903572.599311,915705.392499
2032,920169.9463,931645.022007
2033,938504.529697,949303.146293
2034,957442.652985,967580.481648
2035,973917.944139,983477.630777
