year,Base case diesel consumed,Modeled residential ashp
2017,21669.8059855,-115219.885418
2018,21785.7873224,-115103.904081
2019,21901.7686594,-114987.922744
2020,22017.7499963,-114871.941407
2021,22017.7499963,-114871.941407
2022,22133.7313332,-114755.96007
2023,22249.7126702,-114639.978733
2024,22365.6940071,-114523.997396
2025,22365.6940071,-114523.997396
2026,22249.7126702,-114639.978733
2027,22365.6940071,-114523.997396
2028,22365.6940071,-114523.997396
2029,22365.6940071,-114523.997396
2030,22481.675344,-114408.016059
2031,22365.6940071,-114523.997396
