year,Base case cost,Togiak (quigmy river),Togiak (kurtluk river)
2021,745912.404695,2149335.30089,1350099.33148
2022,768436.573312,2125186.00317,1345577.8071
2023,784095.662878,2098761.88236,1337576.84091
2024,797492.601067,2072139.23869,1328716.13399
2025,815340.458746,2048251.38549,1322739.14453
2026,829775.994737,2021723.72526,1313746.36108
2027,844265.444962,1997257.97788,1306181.34798
2028,858772.866597,1973546.92639,1299012.46307
2029,876471.711326,1952493.16788,1294417.67405
2030,887218.615182,1928950.838,1286191.45125
2031,903572.599311,1906687.35369,1279978.00458
2032,920169.9463,1886590.87201,1275338.47594
2033,938504.529697,1867632.37863,1271785.43178
2034,957442.652985,1849916.4343,1269163.92754
2035,973917.944139,1832868.87089,1266373.14835
2036,998967.096021,1822497.39157,1270495.7891
2037,1011685.61344,1804151.17404,1265553.13702
2038,1033787.4539,1792008.68041,1267332.25344
2039,1050276.22361,1777327.85136,1265762.86658
2040,1077670.64464,1769092.56121,1271437.13476
2041,1087529.46127,1756398.84022,1269719.85297
2042,1092288.88998,1739134.30589,1263174.49781
2043,1095348.52272,1720686.1634,1255194.30315
2044,1098068.19628,1702402.15001,1247132.89516
2045,1105547.29854,1689369.83962,1244083.59767
2046,1111666.56403,1675458.42782,1239921.22233
2047,1120165.54388,1664396.20014,1238379.53769
2048,1128324.56453,1653452.47856,1236733.22168
2049,1138523.34035,1644996.23238,1237356.47326
2050,1149402.03455,1637657.1322,1238884.06985
