year,Base case cost,Modeled non-residential energy efficiency
2017,281223.593199,362905.860623
2018,312823.116461,392036.321086
2019,358247.43115,433911.358002
2020,379972.103392,453938.54957
2021,394784.379922,467593.452912
2022,405646.716043,477607.048697
2023,413546.596858,484889.663812
2024,420458.992572,491261.952039
2025,428358.873387,498544.567155
2026,437246.239305,506737.50916
2027,445146.12012,514020.124276
2028,452058.515834,520392.412502
2029,460945.881751,528585.354507
2030,466870.792363,534047.315844
2031,476745.643382,543150.584739
