year,Base case cost,Modeled water and wastewater efficiency
2017,40984.4334554,79079.3886732
2018,45633.3420364,82310.7984497
2019,52319.4737528,86958.0594458
2020,55403.3065451,89101.8612054
2021,57416.2186808,90501.4575586
2022,58813.50622,91473.2476929
2023,59745.9556418,92122.0290412
2024,60517.2114462,92658.7999528
2025,61406.7765568,93277.839312
2026,62409.363394,93975.4771893
2027,63230.2687153,94546.9200922
2028,63875.8893404,94996.5985403
2029,64816.821527,95651.4306684
2030,65292.5597634,95983.0480222
2031,66292.5014259,96679.0149443
