year,Base case diesel consumed,Loud creek hydro_akutan,Akutan (north creek),"Akutan (unnamed stream, site #1) -- unnamed creek, 1","Akutan (unnamed stream, site #2) -- unnamed creek, 2",Loud creek (akutan)
2021,27503.694564,0.0,0.0,0.0,4546.80551945,0.0
2022,27415.3570941,0.0,0.0,0.0,4458.4680496,0.0
2023,27415.3570941,0.0,0.0,0.0,4458.4680496,0.0
2024,27327.0196242,0.0,0.0,0.0,4370.13057974,0.0
2025,27327.0196242,0.0,0.0,0.0,4370.13057974,0.0
2026,27238.6821544,0.0,0.0,0.0,4281.79310989,0.0
2027,27238.6821544,0.0,0.0,0.0,4281.79310989,0.0
2028,27150.3446845,0.0,0.0,0.0,4193.45564004,0.0
2029,27150.3446845,0.0,0.0,0.0,4193.45564004,0.0
2030,27062.0072147,0.0,0.0,0.0,4105.11817018,0.0
2031,26973.6697448,0.0,0.0,0.0,4016.78070033,0.0
2032,26885.332275,0.0,0.0,0.0,3928.44323048,0.0
2033,26885.332275,0.0,0.0,0.0,3928.44323048,0.0
2034,26796.9948051,0.0,0.0,0.0,3840.10576062,0.0
2035,26708.6573353,0.0,0.0,0.0,3751.76829077,0.0
2036,26620.3198654,0.0,0.0,0.0,3663.43082092,0.0
2037,26531.9823956,0.0,0.0,0.0,3575.09335106,0.0
2038,26531.9823956,0.0,0.0,0.0,3575.09335106,0.0
2039,26443.6449257,0.0,0.0,0.0,3486.75588121,0.0
2040,26355.3074559,0.0,0.0,0.0,3398.41841136,0.0
2041,26266.969986,0.0,0.0,0.0,3310.0809415,0.0
2042,26266.969986,0.0,0.0,0.0,3310.0809415,0.0
2043,26178.6325161,0.0,0.0,0.0,3221.74347165,0.0
2044,26090.2950463,0.0,0.0,0.0,3133.4060018,0.0
2045,26001.9575764,0.0,0.0,0.0,3045.06853194,0.0
2046,26001.9575764,0.0,0.0,0.0,3045.06853194,0.0
2047,25913.6201066,0.0,0.0,0.0,2956.73106209,0.0
2048,25825.2826367,0.0,0.0,0.0,2868.39359224,0.0
2049,25736.9451669,0.0,0.0,0.0,2780.05612238,0.0
2050,25736.9451669,0.0,0.0,0.0,2780.05612238,0.0
