year,Base case diesel consumed,Modeled non-residential ashp
2017,34674.8311061,24272.3817638
2018,34674.8311061,24272.3817638
2019,34674.8311061,24272.3817638
2020,34674.8311061,24272.3817638
2021,34674.8311061,24272.3817638
2022,34674.8311061,24272.3817638
2023,34674.8311061,24272.3817638
2024,34674.8311061,24272.3817638
2025,34674.8311061,24272.3817638
2026,34674.8311061,24272.3817638
2027,34674.8311061,24272.3817638
2028,34674.8311061,24272.3817638
2029,34674.8311061,24272.3817638
2030,34674.8311061,24272.3817638
2031,34674.8311061,24272.3817638
