year,Base case diesel consumed,Modeled solar power (pv)
2016,49190.3133308,48403.6894674
2017,49272.5713798,48492.2405074
2018,49437.0874779,48662.9992525
2019,49601.603576,48833.7080564
2020,49683.8616251,48922.1092696
2021,49848.3777232,49092.7193865
2022,49930.6357722,49181.0227023
2023,50095.1518703,49351.5357049
2024,50177.4099194,49439.7426833
2025,50341.9260175,49610.1601193
2026,50506.4421156,49780.5303446
2027,50670.9582137,49950.8537368
2028,50835.4743118,50121.1306707
2029,50999.9904099,50291.361518
2030,51164.506508,50461.5466472
2031,51246.764557,50549.4283751
2032,51411.2806551,50719.5231627
2033,51575.7967532,50889.5733207
2034,51740.3128513,51059.5792063
2035,51904.8289494,51229.5411735
