year,Base case cost,"Grayling, alaska heat recovery study"
2019,187618.305487,179782.033448
2020,195593.516642,185916.324602
2021,201141.489619,190183.657579
2022,205302.469351,193384.157312
2023,208423.204151,195784.532112
2024,210503.694017,197384.781978
2025,213624.428817,199785.156778
2026,216745.163616,202185.531577
2027,219865.898416,204585.906377
2028,222293.136593,206452.864554
2029,225413.871393,208853.239354
2030,227494.361259,210453.48922
2031,230961.84437,213120.572331
2032,,
2033,,
2034,,
2035,,
2036,,
2037,,
2038,,
