year,Base case diesel consumed,Modeled solar power
2020,56599.6185622,55743.8400829
2021,57013.2576747,56164.3254233
2022,57426.8967872,56584.7559938
2023,57840.5358997,57005.1322326
2024,58323.1148643,57494.3944266
2025,58874.633681,58052.5430068
2026,59288.2727935,58472.7588447
2027,59770.8517581,58961.8619209
2028,60253.4307227,59450.9128042
2029,60736.0096873,59939.9119121
2030,61218.5886519,60428.8596589
2031,61701.1676165,60917.7564554
2032,62183.7465811,61406.6027093
2033,62597.3856936,61826.4589728
2034,63148.9045103,62384.1452033
2035,63631.4834749,62872.8422423
2036,64114.0624395,63361.4903368
2037,64734.5211083,63987.9695824
2038,65354.9797771,64614.4006634
2039,65837.5587417,65102.9042609
