year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,676785
2004,,0,0,0,0,0,188886
2005,,0,0,0,0,0,0
2006,,0,0,0,0,0,0
2007,,0,0,0,0,0,581859
2008,,0,0,0,0,0,665726
2009,,0,0,0,0,0,647425
2010,,0,0,0,0,0,838584
2011,,0,0,0,0,0,818663
2012,,0,0,0,0,0,760317
2013,,0,0,0,0,0,740252
2014,start of forecast,0,0,0,0,0,781000
2015,,0,0,0,0,0,786000
2016,,0,0,0,0,0,792000
2017,,0,0,0,0,0,800000
2018,,0,0,0,0,0,807000
2019,,0,0,0,0,0,813000
2020,,0,0,0,0,0,821000
2021,,0,0,0,0,0,827000
2022,,0,0,0,0,0,833000
2023,,0,0,0,0,0,839000
2024,,0,0,0,0,0,846000
2025,,0,0,0,0,0,854000
2026,,0,0,0,0,0,860000
2027,,0,0,0,0,0,867000
2028,,0,0,0,0,0,874000
2029,,0,0,0,0,0,881000
2030,,0,0,0,0,0,888000
2031,,0,0,0,0,0,895000
2032,,0,0,0,0,0,902000
2033,,0,0,0,0,0,908000
2034,,0,0,0,0,0,916000
2035,,0,0,0,0,0,923000
2036,,0,0,0,0,0,930000
2037,,0,0,0,0,0,939000
2038,,0,0,0,0,0,948000
2039,,0,0,0,0,0,955000
2040,,0,0,0,0,0,965000
