year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,6139.41534859,3990.61997659
2018,6107.17093562,3969.66110815
2019,6074.96847287,3948.72950736
2020,6037.69669086,3924.50284906
2021,6006.30726355,3904.09972131
2022,5976.85487154,3884.9556665
2023,5948.06103159,3866.23967053
2024,5910.91443439,3842.09438236
2025,5873.39428038,3817.70628224
2026,5841.09060437,3796.70889284
2027,5804.68379618,3773.04446752
2028,5771.15424119,3751.25025677
2029,5737.77983546,3729.55689305
2030,5703.80480896,3707.47312582
2031,5667.00380177,3683.55247115
