year,Base case cost,Modeled solar power
2020,202060.638267,207897.302842
2021,211519.185973,217075.566172
2022,218796.476759,224112.351398
2023,224421.279291,229527.140369
2024,229793.072565,234702.120977
2025,236087.281061,240795.969121
2026,243081.918453,247578.636767
2027,249244.451831,253550.238932
2028,254872.011957,258999.388949
2029,261772.201752,265709.515652
2030,266913.046522,270688.41812
2031,274570.195894,278156.242857
2032,282314.209478,285715.29824
2033,289825.895762,293046.299691
2034,298062.829289,301106.730728
2035,304158.49101,307052.742503
2036,312876.624705,315594.765437
2037,319788.534275,322364.469209
2038,328735.548279,331150.540363
2039,335771.549582,338044.050492
