year,Base case cost,Modeled solar power (pv)
2016,211217.858799,219952.280862
2017,245540.760854,253894.627637
2018,270182.844381,278274.950777
2019,303887.645261,311620.892745
2020,319742.65284,327324.34203
2021,331193.491647,338676.218158
2022,339120.995437,346546.216786
2023,344405.997963,351804.370119
2024,348810.166735,356192.125139
2025,354095.169261,361451.564246
2026,361141.839296,368454.152441
2027,366426.841822,373715.073406
2028,370831.010594,378105.25076
2029,376996.846875,384238.854865
2030,381401.015647,388630.154241
2031,387566.851928,394765.163862
2032,394613.521963,401772.627753
2033,401660.191998,408780.990394
2034,408706.862033,415790.239913
2035,413111.030805,420184.636886
