year,Base case diesel consumed,Modeled solar power (pv)
2016,88007.4411664,86967.8481287
2017,88007.4411664,86976.164873
2018,88007.4411664,86984.4150834
2019,88083.3754381,87068.5335637
2020,88083.3754381,87076.6522987
2021,88083.3754381,87084.7060838
2022,88083.3754381,87092.6954386
2023,88083.3754381,87100.6208786
2024,88083.3754381,87108.4829151
2025,88083.3754381,87116.2820553
2026,88083.3754381,87124.0188024
2027,88083.3754381,87131.6936554
2028,88083.3754381,87139.3071097
2029,88083.3754381,87146.8596563
2030,88083.3754381,87154.3517826
2031,88083.3754381,87161.7839718
2032,88083.3754381,87169.1567036
2033,88083.3754381,87176.4704534
2034,88083.3754381,87183.7256933
2035,88083.3754381,87190.9228913
