year,Base case cost,"Iliamna (unnamed stream, site #1) -- unnamed creek"
2021,24346.4146038,208733.345026
2022,24967.2211846,205339.625294
2023,25394.1790702,201917.923621
2024,25745.0697464,198536.802541
2025,26167.1200701,195282.531592
2026,26679.960289,192164.909936
2027,27114.2795175,189080.477747
2028,27465.1701936,186024.410405
2029,27946.1112601,183122.890781
2030,28240.5649743,180184.301578
2031,28758.3127552,177452.630109
2032,29293.2370027,174802.559609
2033,29813.4385644,172213.28949
2034,30363.0854977,169709.674894
2035,30713.9761738,167153.273074
2036,31283.2533546,164792.681636
2037,31621.8751259,162357.097413
2038,32181.3371829,160115.790972
2039,32605.8412876,157853.946262
2040,33219.2865256,155764.385148
2041,33219.2865256,153364.546801
2042,33219.2865256,151020.954608
2043,33219.2865256,148732.290482
2044,33219.2865256,146497.2669
2045,33219.2865256,144314.626725
2046,33219.2865256,142183.142086
2047,33219.2865256,140101.614199
2048,33219.2865256,138068.872069
2049,33219.2865256,136083.772302
2050,33219.2865256,134145.198367
