year,Base case diesel consumed,"Iliamna (unnamed stream, site #1) -- unnamed creek"
2021,5643.69618915,3137.90281199
2022,5643.69618915,3137.90281199
2023,5643.69618915,3137.90281199
2024,5643.69618915,3137.90281199
2025,5643.69618915,3137.90281199
2026,5643.69618915,3137.90281199
2027,5643.69618915,3137.90281199
2028,5643.69618915,3137.90281199
2029,5643.69618915,3137.90281199
2030,5643.69618915,3137.90281199
2031,5643.69618915,3137.90281199
2032,5643.69618915,3137.90281199
2033,5643.69618915,3137.90281199
2034,5643.69618915,3137.90281199
2035,5643.69618915,3137.90281199
2036,5643.69618915,3137.90281199
2037,5643.69618915,3137.90281199
2038,5643.69618915,3137.90281199
2039,5643.69618915,3137.90281199
2040,5643.69618915,3137.90281199
2041,5643.69618915,3137.90281199
2042,5643.69618915,3137.90281199
2043,5643.69618915,3137.90281199
2044,5643.69618915,3137.90281199
2045,5643.69618915,3137.90281199
2046,5643.69618915,3137.90281199
2047,5643.69618915,3137.90281199
2048,5643.69618915,3137.90281199
2049,5643.69618915,3137.90281199
2050,5643.69618915,3137.90281199
