year,Base case cost,Chenega bay hydroelectric construction -- anderson creek,South lake creek (chenega bay),Chenega bay -- anderson creek,Thumb bay (unnamed creek),"New chenega (crab bay, chenega bay) -- unnamed creek, near crab bay",Hayden lake
2018,76090.9297328,178916.293719,,,,,
2019,88947.1524618,185664.477497,,,,,
2020,95116.8971412,187720.131164,,,,,
2021,99487.1329558,188534.417085,285688.071879,142374.911381,464867.216381,147821.029258,265500.921664
2022,102829.07799,188662.069836,280618.688465,141920.131244,458333.068247,148094.890296,264529.834717
2023,105142.732245,188101.805846,275572.571347,141053.641763,451500.385073,147791.611664,262826.949484
2024,106942.24111,187223.070927,270598.463909,140002.973664,444609.165243,147219.130079,260798.660993
2025,109255.895365,186766.039595,265796.891949,139224.27946,438143.972414,146994.293802,259259.797642
2026,112083.69501,186729.51643,261165.023662,138716.54249,432100.551093,147116.19448,258208.46008
2027,114397.349264,186370.93542,256596.668106,138021.576375,425985.824319,146966.166654,256826.020166
2028,116453.930824,185874.506209,252114.981125,137252.709972,419917.964168,146697.788675,255314.859919
2029,118625.246171,185395.752797,247395.482856,136352.479976,413860.286595,146374.136747,253886.378753
2030,120162.50638,184615.137345,243074.106903,135427.818712,407869.18689,145861.364421,252107.336598
2031,122980.816764,184801.195986,238982.496468,135107.959711,402642.409026,146150.117334,251415.237407
2032,125799.127149,185030.456928,234993.226839,134824.842552,397569.423854,146471.697941,250791.780473
2033,128873.647568,185486.394614,231128.893136,134691.04183,392767.99452,146978.918788,250438.687669
2034,131948.167987,185983.533229,227362.159241,134592.280862,388113.233342,147517.446569,250151.05723
2035,133741.638231,185598.472169,223565.769078,133960.559769,382994.864588,147318.637833,248910.70156
2036,137072.368685,186359.625307,220012.419602,134042.869538,378744.575261,148071.177333,248952.759625
2037,138865.83893,186052.227871,216400.004777,133477.198274,373902.675528,147931.38207,247835.800311
2038,141940.359349,186704.737398,213001.324995,133510.5741,369801.007831,148587.969974,247795.031962
2039,144015.91943,186538.326458,209152.803576,132861.659763,365100.332108,148478.659882,246919.204289
2040,147335.435303,187436.438279,205939.243306,133058.770428,361366.299297,149332.575721,247185.473831
2041,147335.435303,185982.332366,202494.649633,131822.111076,356189.934626,148227.658965,244875.108143
2042,147335.435303,184562.307061,199130.788625,130614.435927,351134.891003,147148.638695,242618.891652
2043,147335.435303,183175.563586,195845.768078,129435.065653,346198.324918,146094.907954,240415.555213
2044,147335.435303,181821.32192,192637.740222,128283.336878,341377.459634,145065.874033,238263.859488
2045,147335.435303,180498.820296,189504.900524,127158.601747,336669.583386,144060.958097,236162.594134
2046,147335.435303,179207.314802,186445.486754,126060.227596,332072.047986,143079.594877,234110.577185
2047,147335.435303,177946.078973,183457.778006,124987.596593,327582.267338,142121.232361,232106.654391
2048,147335.435303,176714.403348,180540.093656,123940.10537,323197.715887,141185.331459,230149.698521
2049,147335.435303,175511.595125,177690.792543,122917.164726,318915.927374,140271.365737,228238.60881
2050,147335.435303,174336.97772,174908.271928,121918.199254,314734.493284,139378.821088,226372.310267
2051,147335.435303,173189.890413,172190.966642,120942.647037,310651.061561,138507.195455,224549.753097
2052,147335.435303,172069.687959,169537.348189,119989.95932,306663.335252,137655.998544,222769.912104
2053,147335.435303,170975.74026,166945.923939,119059.60023,302769.07131,136824.751567,221031.786149
2054,147335.435303,169907.431953,164415.236178,118151.046425,298966.079154,136012.986937,219334.397509
2055,147335.435303,168864.162122,161943.861413,117263.78685,295252.219629,135220.24804,217676.791417
2056,147335.435303,167845.343928,159530.409495,116397.322422,291625.403688,134446.088961,216058.035468
2057,147335.435303,166850.404283,157173.52285,115551.165752,288083.591235,133690.074234,214477.219107
2058,147335.435303,165878.783545,154871.875756,114724.840886,284624.790044,132951.778608,212933.453143
2059,147335.435303,164929.93516,152624.173499,113917.883003,281247.05448,132230.786781,211425.869183
2060,147335.435303,164003.325406,150429.151757,113129.838193,277948.484582,131526.693198,209953.619217
2061,147335.435303,163098.433077,148285.575854,112360.263189,274727.224942,130839.101813,208515.875122
2062,147335.435303,162214.749153,146192.239994,111608.725093,271581.46355,130167.625846,207111.828142
2063,147335.435303,161351.776574,144147.966699,110874.801174,268509.430949,129511.887599,205740.688517
2064,147335.435303,160509.029918,142151.606065,110158.078598,265509.39912,128871.518219,204401.684981
2065,147335.435303,159686.035143,140202.035151,109458.154214,262579.680563,128246.157502,203094.064352
2066,147335.435303,158882.329289,138298.157261,108774.634291,259718.627218,127635.453662,201817.091051
2067,147335.435303,158097.460307,136438.901543,108107.13438,256924.629863,127039.063204,200570.046836
2068,147335.435303,,134623.222116,107455.278992,254196.116798,126456.650643,199352.230209
2069,147335.435303,,132850.097694,106818.701471,251531.553287,125887.888383,198162.956172
2070,147335.435303,,131118.53087,106197.043734,248929.440473,125332.456486,197001.55574
