year,Base case cost,Modeled biomass for heat (cordwood)
2017,252733.345141,282103.888339
2018,278416.465141,303686.974994
2019,314800.885141,334570.862455
2020,331922.965141,348758.828191
2021,344051.105141,358629.705679
2022,346391.98056,359106.425202
2023,352686.76056,363929.798068
2024,357582.70056,367557.811101
2025,363877.48056,372409.964775
2026,371571.10056,378485.92581
2027,377865.88056,383365.526996
2028,383461.24056,387653.41094
2029,382634.273418,385342.981411
2030,386746.733418,388362.446975
2031,394286.243418,394348.998394
2032,401825.753418,400347.594423
2033,410050.673418,406948.903204
2034,418275.593418,413561.698622
2035,423073.463418,417230.959277
2036,423160.208837,415633.292472
