year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,71342.0,61896.0435418
2018,71342.0,61896.0435418
2019,71342.0,61896.0435418
2020,71342.0,61896.0435418
2021,71342.0,61896.0435418
2022,69942.0,60496.0435418
2023,69942.0,60496.0435418
2024,69942.0,60496.0435418
2025,69942.0,60496.0435418
2026,69942.0,60496.0435418
2027,69942.0,60496.0435418
2028,69942.0,60496.0435418
2029,68541.0,59095.0435418
2030,68541.0,59095.0435418
2031,68541.0,59095.0435418
2032,68541.0,59095.0435418
2033,68541.0,59095.0435418
2034,68541.0,59095.0435418
2035,68541.0,59095.0435418
2036,67141.0,57695.0435418
