year,Base case cost,Modeled biomass for heat (pellet)
2017,252733.345141,263424.377542
2018,278416.465141,285057.799034
2019,314800.885141,315841.182237
2020,331922.965141,330174.749239
2021,344051.105141,340248.623807
2022,346391.98056,340957.602868
2023,352686.76056,346042.697451
2024,357582.70056,349943.197506
2025,363877.48056,355041.010145
2026,371571.10056,361335.988094
2027,377865.88056,366445.929614
2028,383461.24056,370966.208738
2029,382634.273418,368862.064599
2030,386746.733418,372118.550668
2031,394286.243418,378288.009305
2032,401825.753418,384462.790379
2033,410050.673418,391224.273624
2034,418275.593418,397990.832741
2035,423073.463418,401854.826367
2036,423160.208837,400389.103014
