year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,71342.0,60951.4478959
2018,71342.0,60951.4478959
2019,71342.0,60951.4478959
2020,71342.0,60951.4478959
2021,71342.0,60951.4478959
2022,69942.0,59551.4478959
2023,69942.0,59551.4478959
2024,69942.0,59551.4478959
2025,69942.0,59551.4478959
2026,69942.0,59551.4478959
2027,69942.0,59551.4478959
2028,69942.0,59551.4478959
2029,68541.0,58150.4478959
2030,68541.0,58150.4478959
2031,68541.0,58150.4478959
2032,68541.0,58150.4478959
2033,68541.0,58150.4478959
2034,68541.0,58150.4478959
2035,68541.0,58150.4478959
2036,67141.0,56750.4478959
