year,annotation,consumption kWh,residential kWh,non-residential kWh
2003,,246197.0,99658.0,146539.0
2004,,248539.0,96497.0,152042.0
2005,,255486.0,108388.0,147098.0
2006,,243816.0,100564.0,143252.0
2007,,232922.0,105866.0,127056.0
2008,,237497.0,103114.0,134383.0
2009,,235599.0,96897.0,138702.0
2010,,298569.0,107622.0,190947.0
2011,,291118.0,108757.0,182361.0
2012,,274749.0,110437.0,164312.0
2013,,246527.0,107524.0,139003.0
2014,start of forecast,265808.0,103916.0,161892.0
2015,,265766.0,103874.0,161892.0
2016,,265709.0,103817.0,161892.0
2017,,265661.0,103769.0,161892.0
2018,,265591.0,103699.0,161892.0
2019,,265468.0,103576.0,161892.0
2020,,265378.0,103486.0,161892.0
2021,,265315.0,103423.0,161892.0
2022,,265229.0,103337.0,161892.0
2023,,265145.0,103253.0,161892.0
2024,,265052.0,103160.0,161892.0
2025,,264965.0,103073.0,161892.0
2026,,264882.0,102990.0,161892.0
2027,,264808.0,102916.0,161892.0
2028,,264742.0,102850.0,161892.0
2029,,264596.0,102704.0,161892.0
2030,,264473.0,102581.0,161892.0
2031,,264363.0,102471.0,161892.0
2032,,264277.0,102385.0,161892.0
2033,,264216.0,102324.0,161892.0
2034,,264161.0,102269.0,161892.0
2035,,264099.0,102207.0,161892.0
2036,,264010.0,102118.0,161892.0
2037,,263918.0,102026.0,161892.0
2038,,263829.0,101937.0,161892.0
2039,,263757.0,101865.0,161892.0
2040,,263704.0,101812.0,161892.0
