year,Base case diesel consumed,Chenega bay hydroelectric construction -- anderson creek,South lake creek (chenega bay),Chenega bay -- anderson creek,Thumb bay (unnamed creek),"New chenega (crab bay, chenega bay) -- unnamed creek, near crab bay",Hayden lake
2018,25793.5355026,17769.259281,,,,,
2019,25707.2694976,17682.993276,,,,,
2020,25707.2694976,17682.993276,,,,,
2021,25707.2694976,17682.993276,0.0,9733.87506754,10621.2858681,14225.3783187,19791.1974876
2022,25707.2694976,17682.993276,0.0,9733.87506754,10621.2858681,14225.3783187,19791.1974876
2023,25707.2694976,17682.993276,0.0,9733.87506754,10621.2858681,14225.3783187,19791.1974876
2024,25707.2694976,17682.993276,0.0,9733.87506754,10621.2858681,14225.3783187,19791.1974876
2025,25707.2694976,17682.993276,0.0,9733.87506754,10621.2858681,14225.3783187,19791.1974876
2026,25707.2694976,17682.993276,0.0,9733.87506754,10621.2858681,14225.3783187,19791.1974876
2027,25707.2694976,17682.993276,0.0,9733.87506754,10621.2858681,14225.3783187,19791.1974876
2028,25707.2694976,17682.993276,0.0,9733.87506754,10621.2858681,14225.3783187,19791.1974876
2029,25621.0034926,17596.7272709,-86.2660050256,9647.60906251,10535.0198631,14139.1123136,19704.9314826
2030,25621.0034926,17596.7272709,-86.2660050256,9647.60906251,10535.0198631,14139.1123136,19704.9314826
2031,25621.0034926,17596.7272709,-86.2660050256,9647.60906251,10535.0198631,14139.1123136,19704.9314826
2032,25621.0034926,17596.7272709,-86.2660050256,9647.60906251,10535.0198631,14139.1123136,19704.9314826
2033,25621.0034926,17596.7272709,-86.2660050256,9647.60906251,10535.0198631,14139.1123136,19704.9314826
2034,25621.0034926,17596.7272709,-86.2660050256,9647.60906251,10535.0198631,14139.1123136,19704.9314826
2035,25621.0034926,17596.7272709,-86.2660050256,9647.60906251,10535.0198631,14139.1123136,19704.9314826
2036,25621.0034926,17596.7272709,-86.2660050256,9647.60906251,10535.0198631,14139.1123136,19704.9314826
2037,25621.0034926,17596.7272709,-86.2660050256,9647.60906251,10535.0198631,14139.1123136,19704.9314826
2038,25621.0034926,17596.7272709,-86.2660050256,9647.60906251,10535.0198631,14139.1123136,19704.9314826
2039,25534.7374876,17510.4612659,-172.532010051,9561.34305748,10448.7538581,14052.8463086,19618.6654776
2040,25534.7374876,17510.4612659,-172.532010051,9561.34305748,10448.7538581,14052.8463086,19618.6654776
2041,25534.7374876,17510.4612659,-172.532010051,9561.34305748,10448.7538581,14052.8463086,19618.6654776
2042,25534.7374876,17510.4612659,-172.532010051,9561.34305748,10448.7538581,14052.8463086,19618.6654776
2043,25534.7374876,17510.4612659,-172.532010051,9561.34305748,10448.7538581,14052.8463086,19618.6654776
2044,25534.7374876,17510.4612659,-172.532010051,9561.34305748,10448.7538581,14052.8463086,19618.6654776
2045,25534.7374876,17510.4612659,-172.532010051,9561.34305748,10448.7538581,14052.8463086,19618.6654776
2046,25534.7374876,17510.4612659,-172.532010051,9561.34305748,10448.7538581,14052.8463086,19618.6654776
2047,25534.7374876,17510.4612659,-172.532010051,9561.34305748,10448.7538581,14052.8463086,19618.6654776
2048,25534.7374876,17510.4612659,-172.532010051,9561.34305748,10448.7538581,14052.8463086,19618.6654776
2049,25534.7374876,17510.4612659,-172.532010051,9561.34305748,10448.7538581,14052.8463086,19618.6654776
2050,25534.7374876,17510.4612659,-172.532010051,9561.34305748,10448.7538581,14052.8463086,19618.6654776
2051,25534.7374876,17510.4612659,-172.532010051,9561.34305748,10448.7538581,14052.8463086,19618.6654776
2052,25534.7374876,17510.4612659,-172.532010051,9561.34305748,10448.7538581,14052.8463086,19618.6654776
2053,25534.7374876,17510.4612659,-172.532010051,9561.34305748,10448.7538581,14052.8463086,19618.6654776
2054,25534.7374876,17510.4612659,-172.532010051,9561.34305748,10448.7538581,14052.8463086,19618.6654776
2055,25534.7374876,17510.4612659,-172.532010051,9561.34305748,10448.7538581,14052.8463086,19618.6654776
2056,25534.7374876,17510.4612659,-172.532010051,9561.34305748,10448.7538581,14052.8463086,19618.6654776
2057,25534.7374876,17510.4612659,-172.532010051,9561.34305748,10448.7538581,14052.8463086,19618.6654776
2058,25534.7374876,17510.4612659,-172.532010051,9561.34305748,10448.7538581,14052.8463086,19618.6654776
2059,25534.7374876,17510.4612659,-172.532010051,9561.34305748,10448.7538581,14052.8463086,19618.6654776
2060,25534.7374876,17510.4612659,-172.532010051,9561.34305748,10448.7538581,14052.8463086,19618.6654776
2061,25534.7374876,17510.4612659,-172.532010051,9561.34305748,10448.7538581,14052.8463086,19618.6654776
2062,25534.7374876,17510.4612659,-172.532010051,9561.34305748,10448.7538581,14052.8463086,19618.6654776
2063,25534.7374876,17510.4612659,-172.532010051,9561.34305748,10448.7538581,14052.8463086,19618.6654776
2064,25534.7374876,17510.4612659,-172.532010051,9561.34305748,10448.7538581,14052.8463086,19618.6654776
2065,25534.7374876,17510.4612659,-172.532010051,9561.34305748,10448.7538581,14052.8463086,19618.6654776
2066,25534.7374876,17510.4612659,-172.532010051,9561.34305748,10448.7538581,14052.8463086,19618.6654776
2067,25534.7374876,17510.4612659,-172.532010051,9561.34305748,10448.7538581,14052.8463086,19618.6654776
2068,25534.7374876,,-172.532010051,9561.34305748,10448.7538581,14052.8463086,19618.6654776
2069,25534.7374876,,-172.532010051,9561.34305748,10448.7538581,14052.8463086,19618.6654776
2070,25534.7374876,,-172.532010051,9561.34305748,10448.7538581,14052.8463086,19618.6654776
