year,Base case diesel consumed,Modeled solar power (pv)
2016,108907.857028,107014.184367
2017,109567.460469,107688.937189
2018,110593.510266,108730.015172
2019,111253.113707,109404.526574
2020,112059.29569,110225.497254
2021,112865.477674,111046.349625
2022,113525.081115,111720.50609
2023,114111.395284,112321.25686
2024,114624.420183,112848.602866
2025,115210.734352,113449.123575
2026,115870.337793,114122.819902
2027,116749.809048,115016.271299
2028,117409.412489,115689.743042
2029,117922.437387,116216.525296
2030,118508.751557,116816.486763
2031,119095.065727,117416.339051
2032,119754.669168,118089.372305
2033,120487.56188,118835.587392
2034,121147.165321,119508.406629
2035,121806.768762,120181.12014
