year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,22468.12,1404577.0,1404577.0
2004,,22468.12,1421038.0,1421038.0
2005,,22468.12,1418722.0,1418722.0
2006,,22468.12,1432478.0,1432478.0
2007,,22468.12,1396479.0,1396479.0
2008,,22468.12,1421490.0,1421490.0
2009,,22468.12,1411372.0,1411372.0
2010,,22468.12,1371000.0,1371000.0
2011,,22468.12,1411925.0,1411925.0
2012,,22468.12,1479595.0,1479595.0
2013,,22468.12,1490688.0,1490688.0
2014,start of forecast,22468.12,1471000.0,1471000.0
2015,,22468.12,1478000.0,1478000.0
2016,,22468.12,1486000.0,1486000.0
2017,,22468.12,1495000.0,1495000.0
2018,,22468.12,1509000.0,1509000.0
2019,,22468.12,1518000.0,1518000.0
2020,,22468.12,1529000.0,1529000.0
2021,,22468.12,1540000.0,1540000.0
2022,,22468.12,1549000.0,1549000.0
2023,,22468.12,1557000.0,1557000.0
2024,,22468.12,1564000.0,1564000.0
2025,,22468.12,1572000.0,1572000.0
2026,,22468.12,1581000.0,1581000.0
2027,,22468.12,1593000.0,1593000.0
2028,,22468.12,1602000.0,1602000.0
2029,,22468.12,1609000.0,1609000.0
2030,,22468.12,1617000.0,1617000.0
2031,,22468.12,1625000.0,1625000.0
2032,,22468.12,1634000.0,1634000.0
2033,,22468.12,1644000.0,1644000.0
2034,,22468.12,1653000.0,1653000.0
2035,,22468.12,1662000.0,1662000.0
2036,,22468.12,1671000.0,1671000.0
2037,,22468.12,1684000.0,1684000.0
2038,,22468.12,1693000.0,1693000.0
2039,,22468.12,1703000.0,1703000.0
2040,,22468.12,1714000.0,1714000.0
