year,Base case diesel consumed,Modeled residential ashp
2017,107714.774289,14711.0456545
2018,111142.964206,18139.2355713
2019,112857.059164,19853.3305296
2020,116285.249081,23281.5204464
2021,118856.391518,25852.662884
2022,120570.486477,27566.7578424
2023,123141.628914,30137.90028
2024,124855.723873,31851.9952384
2025,126569.818831,33566.0901968
2026,129140.961269,36137.2326344
2027,131712.103706,38708.375072
2028,134283.246144,41279.5175096
2029,135997.341102,42993.612468
2030,138568.48354,45564.7549056
2031,140282.578498,47278.8498639
